City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
264,Namibe,AO,-15.1961,12.1522,69.78,81,90,9.26,overcast clouds
265,Arraial Do Cabo,BR,-22.9661,-42.0278,76.33,87,3,2.91,clear sky
266,Port-Cartier,CA,50.0334,-66.8654,35.28,87,33,7.54,scattered clouds
267,Orange,US,33.7,-117.7675,66.54,78,100,10.36,overcast clouds
268,Chumikan,RU,54.7183,135.315,29.08,91,100,10.13,light snow
269,Lucapa,AO,-8.4192,20.7447,65.37,96,100,1.86,overcast clouds
270,Soyo,AO,-6.1349,12.3689,77.72,90,92,3.56,overcast clouds
271,Torbay,CA,47.6666,-52.7314,36.27,88,20,27.63,few clouds
272,Cabedelo,BR,-6.9811,-34.8339,75.87,79,54,10.36,light rain
273,Richards Bay,ZA,-28.783,32.0377,75.61,82,98,12.35,overcast clouds
274,Korla,CN,41.7597,86.1469,59.86,19,0,3.53,clear sky
275,Jacareacanga,BR,-6.2222,-57.7528,73.51,99,100,1.77,moderate rain
276,Henties Bay,NA,-22.116,14.2845,60.3,88,0,4.23,clear sky
277,Ostrovnoy,RU,68.0531,39.5131,13.3,92,93,6.64,overcast clouds
278,Macia,MZ,-25.0269,33.0989,71.65,68,7,8.14,clear sky
279,Coquimbo,CL,-29.9533,-71.3436,56.93,100,0,5.75,clear sky
280,Haimen,CN,23.1935,116.6142,64.29,49,0,19.82,clear sky
281,Sheridan,US,44.8333,-106.9173,50.38,22,0,4.61,clear sky
282,Nanortalik,GL,60.1432,-45.2371,35.56,81,100,4.97,overcast clouds
283,Naze,JP,28.3667,129.4833,65.32,50,0,11.86,clear sky
284,Yar-Sale,RU,66.8333,70.8333,16.03,88,100,21.36,overcast clouds
285,Sucua,EC,-2.4667,-78.1667,68.27,98,95,1.86,overcast clouds
286,Nyaunglebin,MM,17.95,96.7333,84.34,48,67,1.57,broken clouds
287,Kirensk,RU,57.7853,108.1119,18.79,88,100,5.73,overcast clouds
288,Micheweni,TZ,-4.9667,39.8333,81.61,76,44,6.17,scattered clouds
289,Sovetskiy,RU,61.3614,63.5842,35.11,99,100,10.02,overcast clouds
290,Kepno,PL,51.2784,17.9891,28.78,78,57,11.9,broken clouds
291,Killybegs,IE,54.6333,-8.45,49.69,96,100,18.84,overcast clouds
292,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,73.24,66,4,0.58,clear sky
293,Batemans Bay,AU,-35.7167,150.1833,76.91,48,91,3.87,overcast clouds
294,Maceio,BR,-9.6658,-35.7353,76.44,88,75,5.75,broken clouds
295,Ironton,US,38.5368,-82.6829,47.44,57,0,3.44,clear sky
296,High Level,CA,58.5169,-117.136,42.91,49,40,8.05,scattered clouds
297,Tieli,CN,46.95,128.05,54.01,39,17,15.37,few clouds
298,Le Vauclin,MQ,14.5452,-60.8388,77.05,73,20,9.22,few clouds
299,Lithakia,GR,37.7167,20.8333,43.97,69,100,7.27,overcast clouds
300,Kalmunai,LK,7.4167,81.8167,79.56,80,87,2.59,overcast clouds
301,Nome,US,64.5011,-165.4064,19.47,50,0,11.5,clear sky
302,Norman Wells,CA,65.282,-126.8329,5.04,56,75,9.22,broken clouds
303,Ust-Kuyga,RU,70.0167,135.6,-2.4,91,96,1.01,overcast clouds
304,Serebryansk,KZ,49.6925,83.2892,30.33,89,61,5.68,broken clouds
305,Rangapara,IN,26.8167,92.65,72.82,87,94,5.21,overcast clouds
306,Humaita,BR,-7.5061,-63.0208,75.51,87,54,1.81,broken clouds
307,Fomboni,KM,-12.28,43.7425,82.4,74,16,7.78,light rain
308,Aykhal,RU,66.0,111.5,5.56,90,100,15.99,overcast clouds
309,Ibateguara,BR,-8.9725,-35.9394,69.85,96,46,1.66,scattered clouds
310,Gemena,CD,3.25,19.7667,69.94,91,100,0.92,overcast clouds
311,Narsaq,GL,60.9167,-46.05,34.34,84,36,6.26,scattered clouds
312,San Vicente De Canete,PE,-13.0751,-76.3835,69.48,85,33,4.14,scattered clouds
313,Farafenni,GM,13.5667,-15.6,72.37,43,5,10.67,clear sky
